image_path,rotation_matrix,translation_vector,calibration_matrix,dataset,scene
img_0055.png,0.794221;0.069194;0.609846;-0.076171;1.000290;0.025534;-0.608948;-0.056194;0.775793,-1.401984;2.278707;38.058713,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
templic_23.png,-0.805262807073903;0.10304933184524846;0.5838943797894497;0.2562252747274724;0.9485610461601773;0.18595846390616716;-0.534696568283629;0.29935393251761006;-0.7902447740744336,-9.120691970650132;-11.261608982137927;100.63186182523981,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
00027.png,-0.27208555310626403;-0.6542291689397195;0.7056583070433612;0.3942833030457828;0.5931435621898591;0.7019411596223948;-0.8777870634329069;0.469217336786663;0.09656584348860253,-9.436850195071079;-9.4249634112568;20.508902929551613,881.0909742226753;0.0;288.0;0.0;881.0909742226753;512.0;0.0;0.0;1.0,pond,pond
palmyre_27.png,0.9042850605730745;0.016332380287273823;0.42661666936314496;-0.033408917948024475;0.9989107974808777;0.03257396011631101;-0.42561998710809296;-0.04370894679889601;0.903845758160007,-25.08379348629126;4.433244178773834;44.28287850122309,3309.752051821905;0.0;2144.0;0.0;3309.752051821905;1424.0;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
cimg2278.png,-0.29107762000401;-0.04499754966103405;-0.9556406435775446;0.0018273441242947672;0.9988653098787984;-0.04758942670576476;0.9566976951713912;-0.015598501377847981;-0.2906651110961079,30.897191054933323;0.40310236067125904;57.72817935664466,2033.9040969039474;0.0;800.0;0.0;2033.9040969039474;600.0;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
00020.png,-0.28221033480706903;-0.3171905070514739;-0.9053990883386791;0.446457217536406;0.7919134040042958;-0.4165922628517953;0.8491367851163514;-0.5217885997171248;-0.08187415567509526,23.32275369279679;23.67663297890061;60.14562103813676,739.1276210258532;0.0;384.0;0.0;739.1276210258532;512.0;0.0;0.0;1.0,church,church
dsc_8238.png,0.984863730517373;0.03569605167719126;0.16961492919570237;0.1375093720722261;-0.7566419121863606;-0.6392059052568821;0.10552063733557492;0.6528543548278034;-0.7500977179532459,-0.03824904727746653;0.021638469256443457;0.435268841877321,10924.25385545293;0.0;2859.865377541796;0.0;10924.25385545293;1992.5071366542402;0.0;0.0;1.0,transp_obj_glass_cylinder,transp_obj_glass_cylinder
2316.png,0.5605069786319997;-0.04568915321140657;-0.826888401287412;0.05120338854188737;0.9984786025831053;-0.020461993683856223;0.8265652665740655;-0.03087039783537412;0.5619936642265908,16.806087534664652;0.9762406236384777;9.125045134039999,787.9972933783289;0.0;300.0;0.0;787.9972933783289;200.5;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
dscn2009.png,0.9973660993211908;0.002233992953325114;0.07249740133492114;-0.002009529152770235;0.999992959734907;-0.0031689545917720466;-0.0725039703562246;0.0030149222386390557;0.9973635668734239,-10.773871425053608;3.0145811874488917;117.02290041942628,8223.278861130191;0.0;1408.0;0.0;8223.278861130191;1056.0;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
img_0060.png,0.6959078750995265;0.12081949017722413;0.7078946815507073;0.0033985712788027964;0.9851806723037377;-0.1714861295627672;-0.7181230250366052;0.1217443785662029;0.6851843746027811,-1.4097708269293399;-5.07022540781499;38.844584693717145,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
